class,image_count,avg_width,avg_height,min_width,min_height,max_width,max_height,formats,corrupt_files
adidas_forum_high,150,143,124,78,81,162,140,jpeg,0
adidas_ultraboost,150,142,128,93,49,162,140,jpeg,0
new_balance_550,150,134,129,79,40,162,140,jpeg,0
new_balance_574,150,131,133,78,68,162,140,jpeg,0
converse_one_star,150,138,130,82,67,162,140,jpeg,0
nike_cortez,150,137,131,93,76,162,140,jpeg,0
nike_dunk_high,150,147,122,93,56,162,140,jpeg,0
nike_air_max_90,150,141,127,84,65,162,140,jpeg,0
nike_air_jordan_4,150,137,130,93,84,162,140,jpeg,0
new_balance_992,150,144,122,76,73,162,140,jpeg,0
nike_air_max_270,149,136,130,82,76,162,140,jpeg,0
nike_air_vapormax_flyknit,149,143,129,93,73,162,140,jpeg,0
vans_sk8-hi,149,133,134,93,75,162,140,jpeg,0
adidas_gazelle,149,133,133,93,68,162,140,jpeg,0
converse_chuck_70_low,148,132,133,84,69,162,140,jpeg,0
yeezy_boost_350_v2,148,148,119,104,43,162,140,jpeg,0
puma_suede_classic,148,134,131,84,70,162,140,jpeg,0
reebok_club_c_85,148,134,132,93,72,162,140,jpeg,0
nike_air_force_1_mid,148,145,124,84,84,162,140,jpeg,0
vans_authentic,148,129,136,93,85,162,140,jpeg,0
adidas_stan_smith,147,137,127,49,57,162,140,jpeg,0
salomon_xt-6,147,130,134,79,89,162,140,jpeg,0
nike_air_force_1_low,147,141,127,97,78,162,140,"jpeg, png",0
yeezy_slide,145,146,121,78,63,162,140,jpeg,0
yeezy_700_wave_runner,108,141,122,78,62,162,140,jpeg,0
new_balance_327,108,130,135,79,90,162,140,jpeg,0
nike_air_vapormax_plus,107,145,125,97,69,162,140,jpeg,0
nike_air_max_1,106,141,126,93,65,162,140,jpeg,0
nike_air_jordan_3,100,143,123,89,67,162,140,jpeg,0
reebok_classic_leather,98,140,129,93,68,300,140,"jpeg, png",0
nike_air_max_97,97,142,125,93,65,162,140,jpeg,0
nike_blazer_mid_'77,97,133,131,97,81,162,140,jpeg,0
adidas_nmd_r1,95,143,124,93,77,162,140,jpeg,0
new_balance_990,95,143,124,93,68,300,140,"jpeg, png",0
nike_air_jordan_11,93,147,123,78,68,162,140,jpeg,0
vans_old_skool,93,130,134,93,84,162,140,jpeg,0
converse_chuck_taylor_all-star_low,93,133,135,91,68,300,140,"jpeg, png",0
nike_air_max_plus_(tn),93,141,128,105,73,162,140,jpeg,0
adidas_superstar,93,132,133,93,70,162,140,jpeg,0
adidas_forum_low,92,135,131,78,68,300,140,"jpeg, png",0
asics_gel-lyte_iii,91,151,124,93,74,162,140,jpeg,0
vans_slip-on_checkerboard,88,137,129,90,55,300,140,"jpeg, png",0
nike_air_force_1_high,87,148,126,93,87,162,140,jpeg,0
nike_air_max_95,86,137,128,93,81,162,140,jpeg,0
nike_dunk_low,80,136,129,105,68,300,140,"jpeg, png",0
nike_air_jordan_1_low,79,135,130,97,68,300,140,"jpeg, png",0
converse_chuck_taylor_all-star_high,78,134,135,91,68,300,140,"jpeg, png",0
nike_air_jordan_1_high,77,139,128,97,81,162,140,jpeg,0
converse_chuck_70_high,75,132,135,84,91,162,140,jpeg,0
adidas_samba,74,139,129,93,68,300,140,"jpeg, png",0
